language_id,questions,option1,option2,option3,option4,answer
1,Which horizon is made up of small lumps of rocks with cracks?,A,C,O,R,option1
1,"Which type of soil is well aerated, light and dry?",Sandy soil,Loamy soil,Clayey soil,None of the above,option1
1,Which soil is ideal for gardening?,Loam soil,Sandy soil,Clayey soil,None of the above,option1
1,Which of the following statements are correct for penguins?,They huddle together,They have webbed feet,They have a streamlined body,All of the above,option4
1,Choose the odd one from the following options:,Thick layer of fat under the skin,White fur,Long grasping tail,Wide and large feet with sharp claws,option3
1,How do adaptations help animals?,To hide from predators,To hunt for food,To survive in their habitats,All of the above,option4
1,Which of the following is the main circulatory fluid in our body?,Plasma,Lymph,Blood,None of these,option3
1,Which of the following are elements of blood?,Red Blood Cells,White Blood Cells,Platelets,All of the above,option4
1,What do blood platelets help in?,Formation of urine,Excretion of urine,Sweating,Blood clotting,option4
1,What makes blood appear red in colour?,White blood cells,Haemoglobin,Plasma,Platelets,option2
