language_id,questions,option1,option2,option3,option4,answer
1,Nearly all the clocks make use of this motion.,Periodic motion,Straight line motion,Random motion,Circular motion,option1
1,Which of the following cannot be used for measurement of time?,A leaking tap,Simple Pendulum,Shadow of an object during the day,Blinking of eyes,option4
1,Which among the following is generally not predicted in daily weather reports?,Temperature,Pressure,Humidity,Rainfall,option2
1,Which of the following statements about air is incorrect?,Air occupies space,Air exerts pressure,Cold air is lighter than warm air,None of these,option3
1,Which of the following shows lateral inversion?,Plane mirror,Convex mirror,Concave mirror,Concave lens,option1
1,How does a faster moving car cover distance?,Less distance in more time,More distance in more time,Less distance in less time,More distance in less time,option4
1,Gappu planted a plant in a pot and took utmost care of it by watering it now and then. But one day it died. What may be the reason for it?,Dry soil,Lack of carbon dioxide,Excessive heat,Overwatering,option4
1,Choose correct statement/s about heat and temperature.,Hot or cold is a feeling or sensation of our skin.,Temperature is a feeling or sensation of our skin.,Temperature is the measure of heat in an object.,Both a and c,option4
1,Object A has a temperature of 45 degree Fahrenheit  while object B has a temperature of 25 degree Fahrenheit. Which object will be more comfortable to touch?,Object A,Object B,Both objects,None of the objects,option2
1,"Normal body temperature for a human is around 37 degree Fahrenheit. Ballu has a body temperature of 40 degree Fahrenheit. Based on this information, choose the correct answer.",Ballu's  body will feel cooler than normal,Ballu's body will feel hotter than normal,Ballu's body will same as normal,Ballu's body will feel different at different places,option2
