language_id,questions,option1,option2,option3,option4,answer
6,"""I am the only metal which is found in liquid state at room temperature. Who am I?""",Sodium,Potassium,Lithium,Mercury,option4
,,,,,,
6,"A certain element, when pounded with a hammer, doesn't break apart but forms thin sheets and conducts electricity. The element is a:",Metal,Non metal,Metalloid,None of the above,option1
,,,,,,
6,The property of metals by which they can be beaten into thin sheets is known as?,Malleability,Ductility,Conductivity,None of the above,option1
,,,,,,
6,Which property of metals is used for making bells and strings of musical instruments like Sitar and Violin?,Sonorousness,Malleability,Ductility,Conductivity,option1
,,,,,,
6,Metals are generally hard. Which of the following metals are an exception and can be cut with a knife?,Iron,Gold,Sodium,All of the above,option3
,,,,,,
6,What happens when metals react with base?,Hydrogen gas is formed,Water is formed,Metal salt is formed,Both ‘a’ and ‘d’,option4
,,,,,,
6,"When metal reacts with liquid water, what are the products?",Metal hydroxide and oxygen gas,Metal hydroxide and hydrogen gas,Metal oxide and oxygen gas,Metal oxide and hydrogen gas,option2
,,,,,,
6,Choose the incorrect statement:,Sodium oxide turns red litmus blue.,Magnesium Hydroxide turns red litmus to blue.,Iron reacts with oxygen and water quickly to form iron oxide.,Iron oxide is basic in nature,option4
,,,,,,
6,"Which type of reaction is the following?
Zn + HCl ?ZnCl2 + H2",Neutralization,Acid and a metal,Acid and a nonmetal,Acid and base,option2
,,,,,,
6,Which of the following metals do not react with dilute hydrochloric acid?,Copper,Silver,Gold,All of the above,option4
,,,,,,
6,"When metals react with a basic solution, a pop sound is produced. What does this indicate?",Nitrogen is formed,Oxygen is formed,Hydrogen is formed,Sulphur dioxide is formed,option3
,,,,,,
6,Which of the following pairs will give displacement reactions?,NaCl solution and copper metal,MgCl2 solution and aluminium metal,FeSO4 solution and silver metal,AgNO3 solution and copper metal,option4
,,,,,,
6,Which of the following pairs of reactants will undergo a displacement reaction?,CuSO4 + Fe ,ZnSO4 + Fe,MgSO4 + Fe,Ca(SO4)2 + Fe,option1
,,,,,,
6,Which one of the following four metals would be displaced from the solution of its salts by other three metals?,Mg,Ag,Zn,Cu,option2
,,,,,,
6,Which of the following statements is incorrect?,The substances catch fire at their ignition temperature,Inflammable substances have lower ignition temperature,Coal has higher ignition temperature than phosphorus in matchsticks,Explosive substances have ignition temperature around room temperature,option4
,,,,,,
6,Choose the incorrect statement from the following. A good fuel is one which:,is readily available,produces a large amount of heat,leaves behind many undesirable substances,burns easily in air at a moderate rate,option3
,,,,,,
6,Which of the following cannot control fire?,carbon dioxide,oxygen,water,sand,option2
,,,,,,
6,What are the features of a fire extinguisher?,Cut off the supply of air,Bring down the temperature of the fuel,Decrease ignition temperature,Both ‘a’ and ‘b’,option4
,,,,,,
6,Paul wants to put off the fire in the woods. What should he do about it?,Pour oil on it.,Pour water on it.,Put papers on it.,Pour kerosene on it.,option2
,,,,,,
6,"On placing an inverted tumbler over a burning candle, the flame extinguishes after some time. Why?",Non availability of oxygen,Presence of carbon dioxide,Presence of water vapours,Non availability of wax,option2
,,,,,,
6,"The different zones of a candle flame are marked by the letters A, B and C. Arrange them by increasing temperature.",A > B > C,C > B > A,A > C > B,B > A > C,option1
,,,,,,
6,Which part of a flame does a goldsmith use for melting gold and silver?,Innermost zone,Outermost zone,Middle zone,None of these,option2
,,,,,,
6,Rahul observed the flame and wrote some observations. Which of the following statements are correct regarding blue flame?,The fuel source and speed determine the color,There is no fuel to burn,Blue flames indicate complete combustion,Both 'a' and 'c',option4
,,,,,,
6,Which zone of the flame is best for boiling water quickly in a test tube?,Black zone,Yellow zone,Blue zone,None of the above,option3
,,,,,,
6,"Complete the sentence: According to the Law of reflection, a light ray striking a mirror…",Bounces off the mirror at the same angle it hits.,Moves into the mirror at a slightly different angle,Continues moving through the mirror in the same direction,Bounces off the mirror toward the direction it came from,option4
,,,,,,
6,"For which item, diffused reflection will take place on the strike of a beam of light?",Plane mirror,Sheet of aluminum,Stainless steel sheet,Sheet of paper,option4
,,,,,,
6,How many times is a ray of light reflected by two plane mirrors placed parallel and facing each other?,Once,Twice,Four times,Infinite times,option4
,,,,,,
6,Two plane mirrors are placed facing each other and parallel to each other. How many images will be formed?,Zero,One,Three,Infinite,option4
,,,,,,
6,How many plane mirrors are used to make a periscope?,One,Two,Three,Four,option2
,,,,,,
6,Which type of result do we get from the reflections in a kaleidoscope?,Circular or round pattern only,Symmetrical or geometrical patterns,Triangular or 3-sided patterns,Linear patterns,option2
,,,,,,
6,What do we call the real or apparent reversal of left and right in a mirror image?,Vertical Inversion,Sideways Inversion,Leaning Inversion,Lateral Inversion,option4
,,,,,,
6,Which of the following letters will look 'laterally inverted' in the mirror?,V,B,O,A,option2
,,,,,,
6,Size of which part is controlled by Iris of the eye?,Retina,Pupil,Lens,Optic nerve,option2
,,,,,,
6,Name the spot with no light-sensitive cells on the retina?,Blind spot,Dark point,Focus spot,Black point,option1
,,,,,,
6,Which of the following carries the image to the brain?,Facial nerve,Optic nerve,Trochlear nerve,Oculomotor nerve,option2
,,,,,,
6,Name the disease in old people where the cornea becomes opaque and the vision is cut down even to blindness?,Myopia,Hypermetropia,Presbyopia,Cataract,option4
,,,,,,
6,Which lens is used to correct an eye that can see the nearby objects clearly but not the farther objects?,Concave lens,Bifocal lens,Convex lens,None of the above,option1
,,,,,,
6,Voice of man is heavy compared to a woman because,Female vocal cord is longer,Male vocal cord is shorter,Male vocal cord is longer,The concept is not related,option3
,,,,,,
6,Choose the correct statement,Sound is produced by non-vibrating objects only,Sound is produced by both vibrating and non-vibrating objects,Sound is produced by vibrating objects only,Vibration has no relation with sound,option3
,,,,,,
6,"What happens to the eardrum when sound hits, causing transmission of sound to the inner ear?",It opens,It grows hair,It refracts the sound,It vibrates,option4
,,,,,,
6,An inaudible sound works at a frequency,"Higher than 20,000Hz","Higher than 10,000Hz","Lower than 20,000Hz","Lower than 10,000Hz",option1
,,,,,,
6,In which medium will sound travel the fastest?,Air,Vacuum,Water,Steel,option4
,,,,,,
6,Sound will travel slowest through which of the following forms of matter?,Milk,Desk,Air,Door,option3
,,,,,,
6,In which medium will sound not travel at all?,Air,Vacuum,Water,Steel,option2
,,,,,,
6,Why is the school library covered with carpet?,So everyone can make a lot of noise,To help absorb sounds to keep it quiet,Because it looks good,To help absorb sounds so it can stay noisy,option2
,,,,,,
6,Which of the following is the unit for measuring loudness of sounds?,Amplitude,Pitch,Frequency,Decibels,option4
,,,,,,
6,Choose the correct unit of the quantity on which this characteristic of sound depends?,Hertz,Meter/second,Meter,Decibels,option1
,,,,,,
6,Choose all the effects that the passage of an electric current through a conducting solution might cause,Deposits of metal on electrodes,Changes in the color of solutions,Bubbles of a gas/residues formed on the electrodes,All of the above,option4
,,,,,,
6,A solution is a weak conductor of electricity. Which of the following should be used to test its conductivity?,Electric circuit with a bulb,Electric circuit with a fan,Electric circuit with a magnetic compass,Electric circuit with a bell,option3
,,,,,,
6,Why is it better to classify objects as good conductors and poor conductors instead of conductors and insulators?,All objects can conduct electricity in certain conditions,All objects some or the other time can conduct electricity in their original state,All objects can conduct electricity if the tester is changed,All objects can conduct electricity if wires are changed,option1
,,,,,,
6,Which of the following statements is correct about the conductivity of water?,Rainwater is a good conductor of electricity.,"By adding salt, pure water can conduct electricity.","By adding lemon juice, water can conduct electricity.",All of the above,option4
,,,,,,
6,Iron is electroplated with metals to prevent it from ______.,Rusting,Bending,Dust,Hardening,option1
,,,,,,
6,The process of transfer of charges from a charged object to the earth is called?,Lightning,Earthing,Conduction,Dissipation,option2
,,,,,,
6,The device used for detecting charge (positive or negative) on an object is called?,Stethoscope,Telescope,Kaleidoscope,Electroscope,option4
,,,,,,
6,Which of the following statements best describe the process of electric induction?,A charged object attracts an uncharged object by inducing opposite charges.,A charged object attracts an uncharged object by inducing similar charges.,A charged object repels an uncharged object by inducing opposite charges.,None of these,option1
,,,,,,
6,An earthquake of magnitude 2 on the Richter scale is:,Two times as strong as an earthquake of magnitude 1,Four times as strong as an earthquake of magnitude 1,Ten times as strong as an earthquake of magnitude 1,Hundred times as strong as an earthquake of magnitude 1,option4
,,,,,,
6,Which of the Earth's plates is responsible for causing earthquakes?,the crust of the earth,the mantle of the earth,the inner core of the earth,the outer core of the earth,option4
,,,,,,
6,"If the magnitude of an earthquake is 3.5 on the Richter scale, then:",It can be felt by many people.,There can be a destructive quake.,Some local damage can happen.,Nothing will happen,option4
,,,,,,
6,Lightning is accompanied with which of the following?,Large amounts of electric current and very high temperature,Earthquake,Volcanic eruptions,Storms,option1
,,,,,,
6,Which device is used to protect buildings from lightning?,Lightning Conductor,Seismograph,Barometer,Thermal Conductor,option1
,,,,,,
6,What is a crack running through the tectonic plate as a result of movement?,Fault,Epicentre,Crust,Hypocentre,option1
,,,,,,
6,How often do the phases of the Moon cycle repeat?,Around once an hour,Every 24 hours,Around once a week,Around once a month,option3
,,,,,,
6,How do we get to see the different phases of the moon?,We can see only that part of the Moon which reflects light towards us,Our distance from the Moon keeps changing.,The shadow of the earth covers only a part of the Moon’s surface,The thickness of the Moon’s atmosphere is not constant,option1
,,,,,,
6,The tilting of the earth is responsible for,Change of days,Change of the sun’s rays,Change of the season,None,option3
,,,,,,
6,Stars appear to move from,West to east,East to west,North to south,South to west,option2
,,,,,,
6,Ursa Major is a,star,Constellation,Artificial satellite,Natural satellite,option2
,,,,,,
6,What is not true about comets,The revolve around the sun in a highly elliptical orbit,They appear periodically,The tail of a comet is always directed towards the sun,Period of revolution of a comet is the same as that of the Earth,option4
,,,,,,
6,The Sun appears to move from East to West around the earth. This means that earth rotates from,East to West,North to South,West to East,West to North,option3
,,,,,,
6,How many stars does the Orion constellation have?,8,10,12,4,option1
,,,,,,
6,Identify the advantage of proper storage.,The quality of food is ensured for a longer time.,A variety of food may be available in far places.,Food poisoning is prevented.,All of the above,option4
,,,,,,
6,Select different processes involved in harvesting.,Removing weeds,Cutting crops after they are mature,Separating grain seeds from the chaff,Both 'b' and 'c',option4
,,,,,,
6,Rahul wrote some statements about crops. Choose the correct one.,The Kharif crops are sown in the rainy season.,The Kharif crops are harvested in the rainy season.,Pulses and vegetables are categorized under Zaid crops.,Both ‘a’ and ‘c’.,option4
,,,,,,
6,Why is organic manure considered better than fertilizers?,It cannot be prepared in fields,It is less rich in plant nutrients,It provides a lot of humus to the soil,It decreases the water holding capacity of the soil,option3
,,,,,,
6,Consider the following statements about weeding and identify the incorrect one.,Weeding is best done during tilling itself,Weeding is the process of growing weed,Weeding is the process of removal of weeds,Weeding is usually done manually or by using weedicides,option2
,,,,,,
6,What is the best time for the removal of weeds?,After all weeds dry out completely,After weeds start to flower and produce seeds,Before weeds start to flower and produce seeds,After weeds have grown a certain height,option3
,,,,,,
6,What is the process of separation of grain from the chaff after harvesting known as?,Tilling,Threshing,Winnowing,Both 'b' and 'c',option4
,,,,,,
6,Select the option which is not a reason for proper storage of food grains,Protection from pest attack,Protection from microbes attack,Protection from thieves,Protection from moisture,option3
,,,,,,
6,A chapati maker is a machine which converts balls of dough into chapatis. What effect of force comes into play in this process?,Direction change,Shape change,Speed change,Change in state of rest or motion,option2
,,,,,,
6,Which of the following changes when a force is applied on an object?,Color,Shape,Volume,None of these,option2
,,,,,,
6,"When a football is kicked, what changes occur in the football?",Force changes the shape of football,Force changes the direction of motion of football,Force changes the speed of football,Both 'b' and 'c',option4
,,,,,,
