language_id,questions,option1,option2,option3,option4,answer
1,Which of these is an irreversible change?,Melting of ice,Melting of wax,Boiling of water,Burning of paper,option4
1,Which is the best conductor option to complete circuit?,Wood stick,Glass bead,Plastic rod,Coin,option4
1,How to fix a gap in an electric circuit?,By using a rubber handle,By using a piece of nylon rope,Attach a metal paperclip to the wires in between the gap,Use cotton thread to attach wires,option3
1,What happens to the liquid inside the thermometer when the thermometer is placed in contact with a person having fever?,The liquid condenses.,The liquid  freezes ,The liquid melts,The liquid expands,option4
1,The process of settling down of the particles of an insoluble solid in a liquid is called.,Decantation,Sedimentation,Winnowing,Sieving,option2
1,Which one of the following methods uses the difference in weight of substances to separate them?,Winnowing,Handpicking,Sieving,None of these,option1
1,A pinhole camera uses the which principle of light?, Reflection of light,Bending of light, Absorption of light ,Rectilinear propagation of light  ,option4
1,Which part of the mirror reflects the light?,Shiny surface,Dull (Non shiny) surface,Frame of the mirror,None of the above,option1
1,Filament of a bulb is made up of which material?,Aluminium,Chromium,Platinum,Tungsten,option4
1,When electricity passes through a bulb it gives off which energy?,Sound and Light,Light Only,Light and electricity,Light and Heat,option4
