language_id,questions,option1,option2,option3,option4,answer
1,Boiling of water is a chemical change because new gas (water vapour) is produced.,TRUE,FALSE,Partially true,Cannot be determined,option2
1,Rotting of a fruit is a chemical change. Which is the sign that proves this statement?,New smell coming from fruit,Change in color of fruit,Change in shape of fruit,All of the above.,option1
1,Lemon juice + Water + Sugar + Salt  makes Lemonade. This is an example of which kind of change?, Physical change,Chemical change,None of the above,None of the above,option1
1,Lemon juice + Baking soda + carbon dioxide. This is an example of which kind of change?,Physical change,Chemical change,None of the above,None of the above,option2
1,Which of the following is not involved in the Water cycle?,Evaporation,Condensation,Precipitation,Rainwater harvesting,option4
1,What is not the cause of depletion of Water Table?,Deforestation,Over-pumping of groundwater.,Afforestation,Scanty rainfall,option3
1,Which of the following is not the reason for the reduced level of the water table?,Increase in population,Scanty rainfall,Deforestation,Tree plantation,option2
1,Which of the following are the ways of eradicating water shortage?,Rainwater harvesting,Recycle waste water,Monitor leakages,All of the above,option4
1,Name the upper level of water under the ground which occupies all the spaces in the soil and rocks?,Water cycle,Water table,Rainwater,None of the above,option2
1,Which of these BEST describes how some birds survive when the weather gets cold?,They store twigs and sticks in their nest,They migrate to a warmer climate,They grow more feathers to stay warm in the winter,They hide in bushes and wait for warm weather,option2
