language_id,questions,option1,option2,option3,option4,answer
1,How are we able to see objects?,Light reflected from objects reaches our eyes.,Light reflected from the eyes reaches the objects.,Light absorbed by objects enables us to see the objects.,Visibility of objects is a property which has no relation to light.,Option1
1,Light incident on a mirror changes direction. What is this phenomenon called?,Propagation,Reflection,Conversion,Rectilinear propagation,Option2
1,Which statements about a plane mirror are true?,Light ray striking the mirror comes and goes in a straight path.,Light ray striking the mirror comes like a wave.,Light ray reflected from a mirror goes back as a wave.,All of the above,Option1
1,Which ray is most likely to be a reflected ray from the mirror?,Blue ray,Green ray,Red ray,Yellow ray,option3
1,When is a real image formed?,When two or more reflected rays appear to meet,When two or more refracted rays meet,When two or more reflected rays meet,Both 'a' and 'c',Option4
1,Choose properties of an image formed in a plane mirror.,Erect image,Laterally inverted image,Virtual image,All of the above,Option4
1,What is lateral inversion?,when a light ray hits an object as a curved wave,the term used to describe light rays reflecting off dark surfaces,the same as a 'virtual image',Reflection in a plane mirror where left becomes right and right becomes left,Option4
1,Why is a spectrum of seven colours formed when sunlight passes through a prism?,The different colours of light are reflected at different angles in a glass prism.,The prism adds colours to the white sunlight.,Light travels at high speed.,None of the above,Option1
1,A Newton's colour disc when rotated appears white. What is the reason behind this?,It is just an illusion,Newton's colour disc is white in color,Different colours on the disc mix to appear white.,None of the above,Option3
1,How does heat travel in air?,Heat travels in air through convection.,Heat travels in air through conduction.,Heat travels in air through radiation.,Both a and c,Option4
