language_id,questions,option1,option2,option3,option4,answer
1,Which of the following plants reproduce through spore formation?,Mushrooms,Mosses,Fern,Green algae,option1
1,Bobo wrote some examples for organisms reproducing through fragmentation. Choose the correct one.,Moss,Mushrooms,Bryophyllum,Sponges,option4
1,Root hair is of utmost importance to the plant. What role do root hair play?,They provide anchorage.,They provide a larger absorption surface.,They are the centers of cell division and growth.,They are the areas where roots grow.,option2
1,"Pipe-like, consisting of a group of specialized cells, transport substances and form two-way traffic in plants. Which of the following tissues have the features mentioned above?",Xylem tissue,Vascular tissue,Root hairs,Phloem tissue,option4
1,Which vascular tissue transports water and minerals upwards from a plant's roots?,Xylem,Phloem,Stomata,Guard cells,option1
1,Water reaches great heights in the trees because of suction pull. Which process in plants is responsible for this suction pull?,Transpiration,Photosynthesis,Evaporation,None of these,option1
1,Which of the following indicates the pathway of water through a plant?,Root hair cell --> Xylem --> Stomata,Stomata --> Root hair cell --> Xylem,Xylem --> Stomata --> Root hair cell,Root hair cell --> Stomata --> Xylem,option1
1,A concave mirror is adjusted such that rays from the sun are obtained as a dot on a sheet of paper. It burns the paper in sometime. Choose the correct statement.,"Dot is real image of sun, paper burns due to concentrated sun heat.","Dot is virtual image of sun, paper burns due to concentrated sun heat.","Dot is real image of sun, paper burns due to high surroundings temperature.","Dot is virtual image of sun, paper burns due to high surroundings temperature.",Option1
1,Which mirror is the dentist using to examine the teeth of the patient?,Plane mirror,Concave mirror,Convex mirror,Either of the above,option2
1,Raheem observed his image on the shiny surface of the bell of his bicycle. He found that his image was erect and smaller in size. Which type of reflecting surface the bell has?,Concave,Convex,Plane,None,option2
