language_id,questions,option1,option2,option3,option4,answer
1,What is a Battery?,a single cell,a combination of cells in which cells are joined (+) to (-),a combination of cells in which cells are joined (+) to (+),None of these,option2
1,How many terminals are there in a dry cell?,One,Two,Three,Four,option2
1,The bulb with broken filament is called as?,fused bulb,lighted bulb,Both(a) and (b),None of these,option1
1,A freely suspended bar magnet rest in which direction?,North-South directions always,East-west directions always,Upside down always,No fixed direction,option1
1,What is the full form of the SI unit? ,Systematic Instrument,International System of Unit,Indian Standard Unit,None of the above,option2
1,What is the SI unit of length measurement?,Centimeter,Kilometer,Inch,Meter,option4
1,Identify the type of motion shown by the pendulum.,Oscillatory motion,Rectilinear motion,Periodic motion,Rotational motion,option1
1,Identify the type of motion shown by fidget spinner.,Circular Motion, Rectilinear Motion, Rotatory Motion, None of these,option1
1,Select an example for vibratory motion.,Spinning top, Membrane of a drum being played,Movement of Earth on its axis,Motion of a car on the road,option2
1,Which method of separating two components of mixture can be affected by the presence of wind?,Winnowing,Threshing,Sieving,Ginning,option1
