language_id,questions,option1,option2,option3,option4,answer
1,Which of the following statements about the ozone is correct?,It is essential for breathing,It absorbs ultraviolet rays,Its proportion in the air is about 3%.,It is mainly responsible for global warming,option2
1,Which of the following contents is most harmful to aquatic animals?,Heavy metal ions,Sodium ions,Potassium ions,Chloride ions,option1
1,In which year Ganga Action Plan was launched?,1980,1984,1982,1985,option4
1,"Students create a model of the formation of fossil fuels by first placing a layer of leaves, representing organic matter, in the bottom of a cup. What step will come next in the model?",Pouring water over the leaves to model washing away by rivers.,Adding sand on top of the leaves to model burial in sediments.,Burning the leaves to model the decay of organic matter.,Putting the leaves in the freezer to model conditions on top of mountains.,option2
1,"A substance X is obtained from an exhaustible natural resource. It is black and thick liquid with an unpleasant smell. Synthetic dye, plastic paints, and perfumes are obtained using this resource. Identify X.",Coke,Coal tar,Bitumen,Lubricating oil,Option2
1,Boojho wrote some statements but he was confused to identify the incorrect statement. Choose the incorrect answer for him.,Petrol is used as a fuel in light motor vehicles.,Diesel is used as a fuel in heavy motor vehicles.,Lubrication oil is used for lubrication in machines and engines.,Bitumen is used in the medical industry.,option4
1,"Bobo was cooking and suddenly, the fuel of the stove got over. Which constituent of petroleum should he use to ignite the stove?",Kerosene,Diesel,Petrol,Paraffin wax,option1
1,Changing concentrations of ozone in upper atmosphere and at ground level can cause health problems for people. Which set of changes would cause the MOST health concerns?,Increase in both atmospheric and ground level ozone,Decrease in both atmospheric and ground level ozone,Increase in atmospheric ozone and a decrease in ground level ozone,Decrease in atmospheric ozone and an increase in ground level ozone,option4
1,"In pit A, Gappu put a polythene bag packed with some agricultural waste. In pit B, she dumped the same kind of waste but without packing it in a polythene bag. She then covered both the pits with soil. What did she observe after a month?",Waste in pit A degraded faster than that in pit B.,Waste in pit B degraded faster than that in pit A.,Waste in both pits degraded almost equally.,Waste in both pits did not degrade at all.,option2
1, Identify the last step of Nitrogen cycle.,Nitrogen compounds used by plants,Nitrogen compounds eaten by animals,Nitrogen compounds dissolved in water,Nitrogen compounds converted to gas by bacteria and released into the atmosphere.,option4
