language_id,questions,option1,option2,option3,option4,answer
1,What is the term for the method of preparing compost with the assistance of earthworms?,Composting,Vermicomposting,Manuring,Decomposing,option2
1,What is vermicompost?,Food waste of earthworms,Excreta of earthworms,Dead skin of earthworms,Dead body parts of earthworms,option2
1,Which plant part plays a role in preventing soil erosion?,Root,Flower,Leaves,Stem,option1
1,Which part of the plants allow water to transpire?,Stomata,Roots,Flowers,Fruits,option1
1,What is the process by which leaves prepare their own food?,Evaporation,Condensation,Roots and stem,Photosynthesis,option4
1,What is the habitat of a giraffe?,Mountains,Grasslands,Ocean,Lake,option2
1,Why does a fish have slippery scales?,To make other animals jealous,To swim in water easily,To reflect sunlight,All of the above,option2
1,What do you call an animal that kills and eats another animal?,A prey,A predator,An omnivore,A carnivore,option2
1,"Which habitat is very dry, has little plant life, and is harsh for animals?",Grasslands,Temperate Forest,Desert,Polar Regions,option3
1,Which creature can walk on land and fly in the air?,Cockroaches,Earthworms,Snakes,All of the above,option1
