language_id,questions,option1,option2,option3,option4,answer
1,The place meant for conservation of biodiversity in their natural habitat are,Zoological garden,Wildlife sanctuary,Botanical garden,None of the above,option2
1,Which of the following activities cannot help in conservation?,Natural Disasters,Recycling of polythene,Recycling of metal,Recycling of cardboard,option1
1,Why is wild buffalo considered an endangered species?,Its population is diminishing,It has become extinct,It is found exclusively in a particular area,Its poaching is strictly prohibited,option1
1,Which one of the following statements is true about endemic species?,They are found exclusively in a specific habitat,Endemic species can never become endangered,They are found only in zoos and botanical gardens,None of the above,option1
1,Which of the following groups consists of endangered and vulnerable species respectively?,Cheetah and jaguar,Hog deer and leopard,Red panda and Asian Elephant,Kabrador duck and blue whale,option2
1,Name of the areas where animals are protected from any disturbance,Sanctuary,Biodiversity,Palaces,Beach,option1
1,In which biosphere reserves animals and plants similar to those of upper Himalayan ranges and lower western ghats found?,Kaziranga Biosphere reserve,Nanda devi Biosphere reserve,Pachmarhi Biosphere reserve,Dudhwa National reserve,option3
1,The killing of animals is referred to as?,Poaching,Hunting,Killing,Assassinating,option1
1,The increase in concentration of which gas is not responsible for Global Warming?,Sulphur dioxide,Nitrogen,Carbon dioxide,Methane,option2
1,Greenhouse gases include:,"CO2, Methane, Nitrous oxide","CO2, Argon, Nitrous oxide","CO2, Methane, Chlorine","CO2, Methane, Fluorine",option1
