language_id,questions,option1,option2,option3,option4,answer
1,Name the part of an eye where No vision is possible?,Cones,Cornea,Blind spot,Brain,Option3
1,The most comfortable distance at which humans can read with a normal eye?,24 cm,25 m,30 cm,25 cm,Option4
1,What is the other name for long-sightedness?,Myopia,Hypermetropia,Night blindness,Cataract,Option2
1,Where does the lens focus light in the human eye?,On the retina,On the pupil,At the optic nerve,None of the above,Option1
1,Which part of the eye controls the light entering into the eye?,Iris,Lens,Cornea,Retina,Option1
1,The speed of sound is maximum in,Liquid,Solid,Gases,None of the above,Option2
1,How do sounds reach your ears?,through waves that can be seen, through invisible waves caused by vibrations,through a series of beeps produced ,by bright lights that flash so fast you can't see them,Option2
1,Sound travels FASTEST through which of these materials?,Air,Empty space,Metal,Water,Option3
1,What range of sound is audible to the human ear?,200Hz - 2000Hz,"20Hz - 20,000Hz","2Hz - 20,000Hz","2000Hz - 2,00,000Hz",Option2
1,1 hertz is equal to,1 vibration per minute,10 vibrations per minute,60 vibrations per minute,600 vibrations per minute,Option3
