language_id,questions,option1,option2,option3,option4,answer
1,Which of the following is NOT a use of a concave mirror?,Car headlights,Torches,Security mirrors,Mirrors used by dentist,option3
1,Which kind of image is formed in convex lenses?,Real and erect images,Virtual and inverted images,Real and inverted images,No images formed,option3
1,Which kind of an image is formed in a concave lens?,Real and erect images,Virtual and inverted images,Real and inverted images,Virtual and erect images,option4
1,In a campsite there are tents of two shades – one made with black fabric and the other with white fabric. Which one would you prefer for resting on a hot summer afternoon? ,Black tent because it will absorb most of the heat.,Black tent because it will reflect most of the heat.,White tent because it will absorb most of the heat.,White tent because it will reflect most of the hea,Option3
1,Dark coloured clothes are preferred during which season?,Winter season,Summer season,Rainy season,None of these,Option1
1,How are wind currents generated?,Uneven heating of the earth,Even heating of the earth,Cooling of the earth,None of these,option1
1,How do strong winds produced by a rise in temperature move?,Downwards,Upwards,Laterally,None,option2
1,Wind currents are generated by uneven heating between what?,Earth and the Moon,Poles and the equator,Sun and the moon,Stars and the moon,option2
1,Vegetative propagation is which type of reproduction?,Asexual reproduction,Sexual reproduction,Binary fission,Fragmentation,option1
1,Which parts of a plant can be identified as vegetative parts?,Stem,Leaf,Flower,Both 'a' and 'b' ,option4
1,What are the different types of asexual reproduction?,Vegetative propagation,Fragmentation,Spore formation,All of the above,option4
1,Why do some plants choose vegetative reproduction?,Reproduction is faster,Variety in the offspring can be achieved,Offspring produced is the exact copy of the parent plant,Both ‘a’ and ‘c’,option4
1,Which part of sweet potato is used for vegetative propagation?,Root,Leaves,Seed,Stem,option1
1,Name the process through which fern reproduces.,Budding,Spore Formation,Fission,Sexual Reproduction,option2
1,"Select the vascular tissue/s that is responsible for transport of water, nutrients and food in plants.",Xylem,Phloem,Stomata,Both 'a' and 'b',option4
1,Which of the following is used to absorb water in plants?,Xylem,Phloem,Stomata,Root hair,option4
1,What kind of tissue is xylem?,Organisms,Vascular tissue,Elements,Plants,option2
1,What is the loss of water from the surface of the leaves known as?,Phloem,Xylem,Transportation,Transpiration,option4
1,What is the role of xylem?,Transports water and nutrients from roots to rest of the plant,Transports food from leaves to rest of the plant,Transports blood to and from different parts of the plant,None of the above,option1
1,What is the plant tissue that carries food material from leaves to the rest of the plant known as?,Phloem,Stomata,Chlorophyll,Xylem,option1
1,Phloem transports substances in which direction?,Upward,Downward,Lateral,None of the above,option2
1,Where does sugar transport begin?,Roots,Leaves,Root hairs,Vascular tissues,option2
1,What type of tissue is phloem?,Transpiration,Rhizome,Vascular tissue,Photosynthesis,option3
1,What is the process by which a plant loses water through the stomata in leaves?,Excretion,Transpiration,Respiration,Automation,option2
1,What is the name of the microscopic holes in leaves that are opened and closed to allow water to TRANSPIRE?,Water doors,Stomata,Leaf eyes,Transpiration holes,option2
1,What type of image is formed when the object is placed very close to a convex lens?,real,smaller in size,"magnified, virtual and errect",bigger in size,Option3
1,What can be said about the size of the image formed in a convex lens?,Image formed is always enlarged.,Image formed is always diminished.,Image formed is always of the same size as the object.,Size of the image formed depends on the position of the object.,Option4
1,If a pendulum is oscillating at 10 cycles in 1 second then what is its time period?,1 second,10 seconds,0.5 second,0.1 second,option4
1,A simple pendulum is attached with a metallic ball of weight 250 grams and it completes 60 oscillations in a certain time. The pendulum has a time period of 0.5 s. Time required to complete one oscillation?,30 seconds,15 seconds,0.5 seconds,60 seconds,option3
1,Calculate the time period of a pendulum if it takes 15 seconds to complete 5 oscillations.,3 seconds,75 seconds,0.33 seconds,0.066 seconds,option1
1,Time taken by the bob to move from A to O is t1 and from O to B is t2. The time period of this simple pendulum is:,(t1 + t2),2(t1 + t2),3(t1 + t2),4(t1 + t2),option2
1,A pendulum takes 27 seconds to complete 10 oscillations. What is its time period?,2.7 s,27 s,10 s,270 s,option1
1,Sahil is explaining to Reema about the maximum and minimum temperature displayed daily in the weather bulletin. Which one is the correct explanation?,Highest day temperature and lowest night temperature of the day.,Highest day temperature and highest night temperature of the month.,Temperature recorded at 12 noon and at midnight (00.00 hrs).,Average highest temperature of day and average lowest temperature of night.,option1
1,A flag mounted on a flag post near the sea coast flutters in the direction of the sea. At what time of the day does this happen?,Midnight,Afternoon,Early morning,Throughout the day,option1
1,Cold air from surroundings rushes to take the place of the winds flowing from the ocean towards the land. What does this result in?,Convection currents,Ocean currents,Tides,Pressure difference,option1
1,Thunderstorms develop in which of the following conditions?,Hot and humid conditions,Humid and cold conditions,Only hot conditions,Only humid conditions,option1
1,Which of the following statements is/are false?,All storms are high-pressure systems.,A wind storm's destructive capacity increases with increases in wind speed.,Wind cycles are caused due to uneven heating of land and water as well as the shape of Earth.,Both ‘a’ and ‘c’,option1
1,"During the formation of rain, what happens when water vapor changes to raindrops?",Heat is absorbed.,Heat is released.,Heat is first absorbed and then released.,There is no exchange of heat.,option2
1,What is the best thing to do when strong winds risk blowing over a hut having a weak thatched roof?,Open the doors and windows,Close all the doors and windows,Make holes in the roof,Burn wood inside,Option1
1,Following are precautions one must take in case a storm is accompanied by lightning. Which one of them is incorrect? ,Do not take shelter under a tree.,Do not take shelter under an umbrella with a metallic end.,"Do not take shelter in open garages, storage sheds, etc.",Do not take shelter in a bus in the open.,option4
1,Bryophyllum has black parts at the boundary of leaves plants. What is the function of this black part?,Black parts indicate that the poor health of the plant,Black parts help to absorb more sunlight,Black parts produce new leaves under suitable conditions,Black parts have no role to play,option3
1,Bobo wants to propagate succulents. Which is the best way she must adapt to do it?,Stem cutting,Leaf cuttings,Root cutting,Sowing the seeds,option2
1,Gappu wants to cut out a stem of a rose plant and plant it in a different pot. What should Gappu keep in mind such that a new plant grows well in the pot?,The stem should have roots,The stem should have leaves,The stem should have a flower in it,The stem should have a node from which new leaves can arise,option4
1,"When you keep food items like bread and fruits outside for a long time especially during the rainy season, you will observe a cottony growth on them. How does it reproduce?",Through spore formation.,Through sexual reproduction.,Through binary fission.,Through fragmentation.,option1
1,"Sporangium leaf is seen under a microscope, and tiny yellowish dots as shown in the image were observed. What are these yellow dots?",Human-made decorations,Stomata,Spores,Phloem cells,option3
1,Paheli uprooted a rose plan. Most of the root tips with hair got left behind. She planted it in a pot with new soil and watered it regularly. Will the plant grow or die?,The plant will grow with good health.,The plant will grow with poor health.,The plant will die immediately.,The plant will die in a few days.,option4
1,"A stick of celery is left in a beaker containing a solution of blue food coloring. After two days, the celery is taken out and it is seen that parts of it have turned blue. What tissue turns blue?",Phloem,Leaf,Stomata,Xylem,option4
1,Plane mirrors and concave mirrors form what type of images?,Plane mirrors form a virtual image.,Concave mirrors form a virtual image.,Plane mirrors form a real image.,Both 'b' and 'c',Option4
1,The image formed by a spherical mirror is always virtual. What mirror could it be?,Concave mirror,Convex mirror,Either concave or convex,None of these,option2
1,Which spherical mirror has the property of diversion?,Convex mirror,Concave mirror,Both of these,None of these,Option1
1,Side view mirror of a vehicle is an example of which type of mirror?,Plane mirror,Concave mirror,Convex mirror,None of these,Option3
1,Which of these images can be formed by a convex mirror?,"Upright, real, and life sized","Inverted, virtual, and bigger than the object","Upright, virtual, and smaller than the object",All of these images are possible,Option3
1,What is the nature of an image formed by a concave mirror?,Real and inverted,Virtual and erect,Depends on the position of the object,Real and erect,option3
1,An erect and enlarged image can be formed by,a convex mirror only.,a concave mirror only.,a plane mirror only.,both convex and concave mirrors.,option2
1,Choose the property of the image formed by a convex lens when the object is placed very close to the lens.,Virtual and inverted image,Real & inverted image,Real & Virtual Image,Virtual & erect image,option4
1,Which of the following can form an inverted image? Select all that apply.,Concave lens,Convex lens,Concave mirror,Both ‘b’ and ‘c’,Option4
1,What can be said about the size of the image formed in a concave lens?,Image formed is always enlarged.,Image formed is always diminished.,Image formed is always of the same size as the object.,Size of the image formed depends on the position of the object.,option2
1,Sea and land breezes:,are caused by currents set up in air due to conduction.,are caused by currents set up in air due to convection.,are caused by currents set up in air due to radiation.,"have no relation to conduction, convection or radiation.",Option2
1,How does the air move in a land breeze?,From east to west,From west to east,From the land to the ocean,From the ocean to the land,Option3
1,Which of the following precautions need NOT be taken while using electronic gadgets/appliances/circuits?,Never turn the switch in ON position.,Never use just any wire or strip of metal in place of a fuse.,Never experiment with the electric supply from the mains.,Never touch a lighted electric bulb connected to the mains.,Option4
1,Which of the following appliances do not show the heating effect of electric current?,Electric bell,Electric bulb,Electric stove,Electric heater,Option1
1,The heating effect of electric current depends on which of the following factors?,Length of material,Type of material (conductor or insulator),Thickness of material,All of the above,option4
1,Which of the following is NOT one of the purposes of a fuse or circuit breaker?,To protect appliances against power surges,To prevent metal cases from becoming electrified,To prevent electrocution,To allow you to reduce the power going to an appliance,option3
1,A small glass or plastic tube that contains a piece of wire is an example of what?,A ground wire,A circuit breaker,A fuse,A safety pin,option3
1,A ______________ is a reusable safety switch that breaks the circuit when the current gets too high.,Fuse,Grounded wire,Fuse box,Circuit breaker,option4
1,Which property of an electric wire is used in making an electric fuse?,Toughness of wire,Color of wire,Melting point of the wire,Breaking point of the wire,option3
1,What will be a rectilinear motion with ever-changing speed called?,Uniform rectilinear motion,Uniform motion,Non-uniform motion,Non-rectilinear motion,option3
1,What will uniform motion look like in a distance-time graph?,Curved line,Straight line,Circle,Bent line,option2
1,The distance-time graph of a standing vehicle is parallel to which axis?,X-axis,Y-axis,Both (a) and (b),None of the above,option1
1,Which of the following climatic zones has wet and hot weather conditions all year long?,Mountain,Desert,Tropical,Temperate,option3
1,Weather pattern of a desert differs from that of a mountain. Select the correct reason.,Difference in temperatures,Difference in solar energy absorbed and reflected by the environment,Different animals living in that particular area,None of the above,option2
1,What is the temperature recorded when the sun’s heat reaches the lowest level?,Maximum temperature,Minimum temperature,Average temperature,None of the above,option2
1,Exhaust fans in kitchens are placed at the top near the ceiling. Which principle is applied here?,Air expands on heating,Air exerts pressure,Air occupies space,Warm air rises,option4
1,How are the wind currents set up?,Warm air near the equator rises and is replaced by cooler air from the poles,Warm air near the poles rises and is replaced by cooler air from the equator,Cooler air near the equator rises and is replaced by warmer air from the poles,Cooler air near the poles rises and is replaced by warmer air from the equator,option1
1,"In summer, near the equator, the winds move from oceans to the land. Why?",Land air is cooler and rises up which is replaced by warmer air from oceans.,Land air is hotter and settles down which is replaced by cooler air from oceans.,Land air is cooler and settles down which is replaced by warmer air from oceans.,Land air is hotter and rises up which is replaced by cooler air from oceans.,option4
1,Which of the following statements are true about the wind flow?,Hot winds blow from the equator to poles.,Cold winds blow from poles to the equator.,Cooler winds blow from 30 degrees latitude towards the equator.,Both ‘b’ and ‘c’,option4
1,The factors which contribute to the development of cyclones:,Wind speed,Temperature,Humidity,All of the above,option4
1,Which of the following processes provides energy required to form and sustain a cyclone?,Condensation of water vapor,Vaporization of water,Energy of blowing wind,Fast moving sea waves,option1
1,Which of the following is true of the 'eye' of a cyclone?,It is an area of high pressure,It is an area of low pressure,It has lots of clouds and rains,It has the lowest temperature of the system.,option2
1,Which of the following factors contribute to the development of cyclones?,Wind speed,Wind direction,Temperature,All of the above,option4
1,Which gas is needed to perform respiration at the cellular level?,Oxygen,Nitrogen,Carbon,Helium,option1
1,Which of the following plant bear a bisexual flower?,Corn,Papaya,Cucumber,Mustard,option4
1,Choose the features associated with Seed dispersal.,Avoids competition,Produces mixed population,Promotes new habitats,All of the above,option4
1,Which part of the flower forms fruit?,Seed,Ovary,Petals,Stamen,option2
1,Rohan wrote some features about asexual reproduction. Choose the correct ones.,It requires only one parent.,Reproduction takes place without the involvement of seeds.,Daughter cells formed are identical to parents and each other.,All of the above,option4
1,Bobo observed that onions don't need seeds to reproduce. Which type of reproduction is involved in it?,Sexual Reproduction,Asexual Reproduction,Fragmentation,Budding,option2
1,Which part of the bryophyllum helps in reproduction?,Leaves,Stem,Root,Seed,option1
1,Ginger reproduces asexually by vegetative propagation. Which part of ginger is involved in asexual reproduction?,Stem,Leaf,Roots,Flower,option1
1,In which process of asexual reproduction does the parent organism break up into smaller pieces upon maturation?,Budding,Fragmentation,Sperm formation,Vegetation,option2
1,Why does dough rise when yeast is added to it?,Yeast cells reproduce by budding,The rapidly reproducing yeast cells release carbon dioxide due to respiration,Budding yeast cells form chains,Because of the bulk of the new yeast cells.,option2
1,Which of the following plants reproduce through spore formation?,Mushrooms,Mosses,Fern,Green algae,option1
1,Bobo wrote some examples for organisms reproducing through fragmentation. Choose the correct one.,Moss,Mushrooms,Bryophyllum,Sponges,option4
1,Root hair is of utmost importance to the plant. What role do root hair play?,They provide anchorage.,They provide a larger absorption surface.,They are the centers of cell division and growth.,They are the areas where roots grow.,option2
1,"Pipe-like, consisting of a group of specialized cells, transport substances and form two-way traffic in plants. Which of the following tissues have the features mentioned above?",Xylem tissue,Vascular tissue,Root hairs,Phloem tissue,option4
1,Which vascular tissue transports water and minerals upwards from a plant's roots?,Xylem,Phloem,Stomata,Guard cells,option1
1,Water reaches great heights in the trees because of suction pull. Which process in plants is responsible for this suction pull?,Transpiration,Photosynthesis,Evaporation,None of these,option1
1,Which of the following indicates the pathway of water through a plant?,Root hair cell --> Xylem --> Stomata,Stomata --> Root hair cell --> Xylem,Xylem --> Stomata --> Root hair cell,Root hair cell --> Stomata --> Xylem,option1
1,A concave mirror is adjusted such that rays from the sun are obtained as a dot on a sheet of paper. It burns the paper in sometime. Choose the correct statement.,"Dot is real image of sun, paper burns due to concentrated sun heat.","Dot is virtual image of sun, paper burns due to concentrated sun heat.","Dot is real image of sun, paper burns due to high surroundings temperature.","Dot is virtual image of sun, paper burns due to high surroundings temperature.",Option1
1,Which mirror is the dentist using to examine the teeth of the patient?,Plane mirror,Concave mirror,Convex mirror,Either of the above,option2
1,Raheem observed his image on the shiny surface of the bell of his bicycle. He found that his image was erect and smaller in size. Which type of reflecting surface the bell has?,Concave,Convex,Plane,None,option2
1,A laboratory thermometer is used to measure the freezing point of water. When should the reading be taken?,when mercury has stabilized and the thermometer is out of water.,when mercury is still rising and the thermometer is out of water.,when mercury has stabilized and the thermometer is still in the water.,when mercury is still rising and the thermometer is in the water.,Option3
1,"Statement 1 - The metal tungsten has a very high melting point due to which it does not melt  
Statement 2 - Tungsten is the commonly used metal for the filament of electric bulbs.",Statement 2 is the  correct reason for statement 1,Statement 1 is the correct reason for statement 2,Statement 1 is correct but statement 2 is false,Statement 2 is true but statement 1 is false,Option2
1,Why does the bulb glow when it is switched on?,Filament of the bulb becomes so hot that it glows.,The glass surface of the bulb becomes bright.,Filament of the bulb produces sparks of light.,Bulb holder throws sparks of light inside the bulb.,Option1
1,Steel wool melts when an electric current is passed through it. Which of the following appliances should use steel wool?,Electric bulb,Electric heater,Electric fuse,Electric oven,option3
1,A type of material glows and becomes hot very quickly when an electric current is passed through it. This material is suitable for which of the following appliances?,Electric bulb,Electric heater,Electric oven,Both 'b' and 'c',option4
1,Vinayak travels 10 kilometers daily to school by bus. The bus takes almost 5 stops to pick students. The road always has traffic. Choose the correct option that mentions motion of the bus.,Uniform Motion,Rectilinear Motion,Non-Uniform Motion,Periodic Motion,option3
1,Suraj walks to his school which is at a distance of 3 km from his home in 30 minutes. On reaching he finds that the school is closed and comes back by a bicycle with his friend and reaches home in 20 minutes. His average speed in km/h is:,6 km/hr,9 km/hr,3.33 km/hr,7.2 km/hr,option4
1,David travels one hour at an average speed of 45 kmph and the next hour at an average speed of 65 kmph. Then what is his average speed?,50 kmph,55 kmph,25 kmph,60 kmph,option2
1,When we blow over a paper strip it goes upward. Why?,Blowing over the paper reduces the air pressure above the strip.,Blowing over the paper increases the air pressure above the strip.,Neither of these is the correct reason.,The strip will not go upward at all.,option1
1,"To expel hot air out of the kitchen, ‘A’ has an exhaust fan fitted on the window of her kitchen and ‘B’ has a similar exhaust fan fitted on the wall near the ceiling of kitchen. Which of the exhaust fans will expel the hot air more effectively?",Exhaust fan A,Exhaust fan B,Neither of the fans,Both fans,option2
1,"Curtain is hanging at the entrance of a room. A long corridor runs at right angles to the door, that is parallel to the curtain. If a strong wind blows along the corridor, the curtain will:",Get pushed inside the room.,Get pushed outside the room.,Get collected towards one end/swirled.,Remain unaffected.,option2
1,"When a plastic bottle containing some hot water is closed and cold water is poured on it, the bottle changes its shape. Why?",Outside air pressure is more than  inside the bottle,Outside air pressure is less than inside the bottle,Outside air pressure is equal to the  inside the bottle,Plastic bottle must have been faulty ,option1
1,A flat in Mumbai with a balcony facing the sea has some clothes hung in the balcony. Towards which direction will the clothes be blown in the afternoon?,Towards the sea,Away from the sea,Unpredictable,None of the above,option1
1,Which of the following latitude belts shows movement of cooler air towards the region close to the equator?,0-20 degrees,0-30 degrees,0-40 degrees,0-10 degrees,option2
