language_id,questions,option1,option2,option3,option4,answer
6,"Arrange the following components of a food chain in proper sequence – grass, frog, eagle, insects, snake.",Grass ? insects ? frog ? snake ? eagle.,Grass ? snake ? insects ? frog ? eagle.,Grass ? snake ? eagle ? insects ? frog.,None of the above is possible,option1
,,,,,,
6,Forests provide us with?,"Wood, clothing, shelter, food","Nuts, fruits, spices, meat","Air conditioners, playstation, bathtubs",Both 'a' and 'b',option4
,,,,,,
6, How do forests help control soil erosion?,The roots of trees bind the soil, The soil is usually thick around the trees,The roots absorb all the rain water ,None of the above,option1
,,,,,,
6,"What percentage of Earth's water, found abundantly in seas and oceans, is accessible for our use?",0.006%.,0.06%.,0.6%.,6%.,option1
,,,,,,
6,Which of the following inhibits the seepage of rainwater into the ground?,A pukka floor,Playground,Grass lawn,Forest land,option1
,,,,,,
6,On which of the following days is World Water Day observed?,22nd March,14th November,20th April,21st December,option1
,,,,,,
6,Which region has dry weather in India?,West Bengal,Mumbai,Chandigarh,Rajasthan,option4
,,,,,,
6,At what duration does the annual rainfall at any given station vary?,Month to month,Weekly basis,Year to year,Quarterly,option3
,,,,,,
6,Which of these methods should not be used for the disposal of urine and faeces if no sewage system is available?,Allowing untreated sewage to flow into rivers,Making septic tanks for sewage to flow into,Allowing sewage to flow into a biogas plant,Using a vermi-composting toilet,option1
,,,,,,
6,The garden soil is a rich source of humus content due to the presence of clay and the roadside soil consists of sand and silt which does not hold the water.,TRUE,FALSE,Can't predict,None of the above,option1
,,,,,,
6,"Which of the following properties primarily determine the nature of soil as sandy, clayey or loamy?",Amount of organic matter,Color of the soil,Particle size of soil and rocks,Proportion of particles of various sizes,option4
,,,,,,
6,Wheat is grown in fine clayey soil because:,It is rich in humus,It is very fertile,It is well aerated,Both ‘a’ and ‘b’,option4
,,,,,,
6,Select the statements stating the importance of earthworms.,Help to improve water infiltration and soil aeration,Enhance soil nutrient cycling,Enhances the activity of other beneficial soil microorganisms,All of the above,option4
,,,,,,
6,Soil conservation measures are mainly aimed at protecting which of the following?,Plants,Top soil,Subsoil,Soil organisms,option2
,,,,,,
6,"The proportion of sand, silt and clay in a soil sample determines_____.",Structure,Texture,Nutrient potential,Fertility level,option2
,,,,,,
6,"If a soil retains too much water, what could happen to the plants?","The plants wouldn't grow, and mold might develop",The plants wouldn't grow because the soil needs the water,The plants would grow because plants need a lot of water,None of the above,option1
,,,,,,
6,What does a small hole in the soil that retains water after rain and dry weather indicate about the soil's properties?,Higher percolation rate,Lower percolation rate,Lower water absorption capacity,Both ‘b’ and ‘c’,option4
,,,,,,
6,Which of the following has the greatest effect on soil's capacity to retain water?,Soil Color,Soil particle size,Soil texture,Soil fragrance,option2
,,,,,,
6,Temperature: 15? to 40?; humidity - 80% These conditions can be found in which of the following habitats?,Deserts,Polar regions,Mountainous regions,Tropical rainforests,option4
,,,,,,
6,Most of the adaptive features of animals in tropical rainforests is due to which of the following reasons?,To survive in hot and humid conditions,To be able to eat different food because of higher competition,To be able to survive in less water conditions,To obtain sufficient food from soil due to the absence of fruit-bearing trees in rainforests.,option1
,,,,,,
6,Why do arteries have thick elastic walls?,Rapid blood flows at high pressure,Slow blood flows at low pressure,Rapid blood flows at low pressure,Slow blood flows at high pressure,option1
,,,,,,
6,What might be the possible effect of extremely low levels of hemoglobin in the blood?,Blood will change color,Lack of oxygen in cells,Lack of blood in cells,Lack of food in different parts of body,option2
,,,,,,
6,If you are jogging and your heart rate goes above 178 what should you do?,Ignore it,Speed up,Sit down and stop jogging,Slow down but keep going,option4
,,,,,,
6,White patches formed in places like underarms during humid weather are due to:,Salt present in the sweat,Sugar present in the sweat,Acid present in the sweat,None of the above,option1
,,,,,,
6,What happens if a person has one kidney removed?,They will accumulate excess urea,They will die,They will continue as normal,They will stop making urine,option3
,,,,,,
6,In which order does urea pass through structures in the body?,kidney => ureter => urinary bladder => urethra,urinary bladder => kidney => ureter => urethra,kidney => urethra => urinary bladder => ureter,urinary bladder => urethra => kidney => ureter,option3
,,,,,,
6,"On cooling, crystals of a concentrated sugar syrup got separated. This indicates a –",a physical change that can be reversed.,the chemical change that can be reversed.,a physical change that cannot be reversed.,the chemical change that cannot be reversed.,option1
,,,,,,
6,"To obtain crystals of copper sulphate, the hot saturated solution is filtered through a filter paper. What is the reason for this step?",Filtration helps to cool down the solution,Filtration helps to form crystals,Filtration helps to obtain pure crystals,Filtration helps to retain the color of the crystals,option3
