language_id,questions,option1,option2,option3,option4,answer
1,What are floods?,Cities experience water clogging due to prolonged rainfall.,Overflowing sewers,Excessive precipitation leads to overflowing water bodies.,None of the above,option3
1,What is a drought?,Shortage/ deficiency of water,Too much precipitation,Too many people using water,Strong winds,option1
1,How can we conserve water?,By avoiding wastage of water,By avoiding wastage of water,By using water carefully,All of these,option4
1,What does 'biodegradable' mean?,It breaks down in nature,Bad for environment,Perfect for composting,Can be eaten,option1
1,What waste is obtained from Animals and Plants?,Biodegradable waste,Non degradable waste,Plastic waste,None of the above,option1
1,Which substances are difficult to dispose of?,Glass,Wood,Rubber,None of these,option1
1,Which body parts help fish move about in the water?,Mouths and gills,Legs and scales,Wings and tails,Fins and tails,option4
1,Which category of plants possesses the feature of thick and hard stems?,Herb,Shrub,Tree,Climber,option3
1,"If I possess a tender green stem, what am I?",Tree,Herb,Shrub,None,option2
1,Which type of plant has a weak stem?,Herb,Creeper,Shrub,None,option2
