language_id,questions,option1,option2,option3,option4,answer
1,Write the decimal 0.625 as a fraction in simplest form.,5/8.,2/5.,3/4.,4/5.,option1
1,"If you have 1.8 liters of juice and pour it into three equal glasses, how much juice is in each glass?",1 liters,0.6 liters,0.8 liters,8.1 liters,option2
1,What is the product of 70 and 900?,63000,6300,630,63,option1
1,"If you divide 56 by 8, what is the quotient?",7,8,9,6,option1
1,Multiply 3.5 by 2.,6.5,7,6,7.5,option2
1,Divide 450 by 5.,90,900,9,909,option1
1,"If a bag contains 420 marbles, and you want to distribute them equally among 4 friends, how many marbles does each friend get?",105,210,150,120,option1
1,What is the result of 6 multiplied by 0.4?,2.4,2.6,2.8,2.2,option1
1,Divide 9 by 0.3.,30,3,0.3,0.03,option1
1,What is the product of 6 and 7.5?,45,42,52,47.5,option1
