language_id,questions,option1,option2,option3,option4,answer
1,Which of the following organs is not a part of the cardiovascular system?,Lungs,Heart,Blood vessels,Stomach,option4
1,Where does the beating sound your heart makes come from?,Blood going in the wrong direction,Valves closing,The heart skipping beats,Your ears playing tricks on you,option2
1,Why are the walls of arteries thick?,To carry a huge amount of blood,To carry high pressure of blood,To sustain heavy flow of blood in arteries,Both b and c,option4
1,Which of the following carries carbon dioxide-rich blood from the heart to the lungs?,Pulmonary veins,Pulmonary artery,All veins,All arteries,option2
1,Which of the following parts prevent the mixing of oxygen and carbon dioxide-rich blood?,Veins,Arteries,Capillaries,Valves,option4
1,What are the bottom two chambers of the heart known as?,Atria,Ventricles,Top chamber,Bottom chamber,option2
1,What wall separates the left side and right side of the heart?,Ventricles,Atrium,Septum,All of the above,option3
1,Which chamber of the heart receives oxygenated blood from pulmonary circulation?,Left atrium,Right ventricle,Left ventricle,Right atrium,option1
1,Which of the following is correct?,The heart is made up of four chambers.,The heart works by contracting and relaxing its muscles.,"Carbon dioxide-rich blood goes to the right side, and oxygen-rich blood goes to the left side of the heart.",All of the above,option4
1,Why can't you use your thumb to find your pulse?,Your thumb has its own pulse,Your thumb is too big,You need two fingers,Your thumb cannot feel,option1
