language_id,questions,option1,option2,option3,option4,answer
1,What is the principle behind solar water purifiers?,Condensation,Evaporation,Sublimation,Both (a) and (b),option4
1,Which of the following statements is true for twins?,Look similar,Have the same height,Both a and b,None of these,option1
1,How to dispose of a mobile phone?,Recycling bag at home,Organic Bin at home,Civic Amenity Site,Return to store,option4
1,Which is NOT considered hazardous waste?,Clothing,Car battery,Toxic cleaning bottles,Electronic devices,option1
1,Which characteristic ensures life continuation?,Respiration,Reproduction,Excretion,Movement,option2
1,Which of the following combinations of features would you observe in grass?,Parallel venation and fibrous root,Parallel venation and taproot,Reticulate venation and taproot,All of the above,option2
1,Leaf venation and type of root correctly paired?,"Parallel venation, fibrous roots","Parallel venation, tap root","Reticulate venation, fibrous roots",No relation exists in leaf venation and type of roots,option1
1,Which of the following has a fibrous root?,Peas,Wheat,Radish,Neem,option2
1,Which of the following is not a correct match?,Petiole : attaches leaf to stem,Lamina : green flat part of leaf,Margin : gives shape to the leaf,Veins : transpiration,option3
1,Choose the correct word to describe the relation between biotic and abiotic components of a habitat.,Independent,Interdependent,Opposite,One and the same,option2
