language_id,questions,option1,option2,option3,option4,answer
1,Which of the following is not a component of air?,Helium,Argon,Carbon monoxide,Acids,option4
1,"With 71% of Earth's surface covered by water, why conserve?","Water is impure, unusable.","Water is muddy, unusable.","Water is salty, unusable.","Water is sweet, yet unusable.",option3
1,Sieving would be a preferred separation method in which case?,Basket full of fruits,A mixture of salt and rice,Separation of grains from stalk,Salt and crushed sugar mixture,option2
1,Why does an opaque object form a shadow when placed in the path of light?,Opaque object reflects all the light,Opaque object passes all the light,Opaque object blocks all the light,Opaque object blocks some of the light,option3
1,Which of the following is not a characteristic of a shadow?,A shadow is a dark outline of the object,The shape of the shadow may or may not match the shape of the object,The size of the shadow increases if the opaque body is close to the source of light,The size of the shadow decreases if the opaque body is close to the screen,option1
1,"As The Sun Rises In The Sky, The Shadow Of A Building-",Lengthens,Shortens,Widens,Darkens,option2
1,Select the correct option for the properties of image produced in a pinhole camera,An erect and small image,an erect and enlarged image,an Inverted and small image,An inverted and enlarged image,option3
1,What should be the material property of the screen of the pinhole camera?,It should be Transparent,It should be Opaque,It should be Translucent,Material property of screen is irrelevant,option3
1,Which of the following is true about images seen through pinhole cameras?,Image is black and white in color,Image is colored and real,Image is virtual (not real),None of the above,option2
1,Which will make the darkest shadow? Light shining on a…,Sheet of thin tissue paper,Glass window,Wooden chopping board,Glass of water,option3
