language_id,questions,option1,option2,option3,option4,answer
1,Time taken by the bob to move from A to O is t1 and from O to B is t2. The time period of this simple pendulum is:,(t1 + t2),2(t1 + t2),3(t1 + t2),4(t1 + t2),option2
1,A pendulum takes 27 seconds to complete 10 oscillations. What is its time period?,2.7 s,27 s,10 s,270 s,option1
1,Sahil is explaining to Reema about the maximum and minimum temperature displayed daily in the weather bulletin. Which one is the correct explanation?,Highest day temperature and lowest night temperature of the day.,Highest day temperature and highest night temperature of the month.,Temperature recorded at 12 noon and at midnight (00.00 hrs).,Average highest temperature of day and average lowest temperature of night.,option1
1,A flag mounted on a flag post near the sea coast flutters in the direction of the sea. At what time of the day does this happen?,Midnight,Afternoon,Early morning,Throughout the day,option1
1,Cold air from surroundings rushes to take the place of the winds flowing from the ocean towards the land. What does this result in?,Convection currents,Ocean currents,Tides,Pressure difference,option1
1,Thunderstorms develop in which of the following conditions?,Hot and humid conditions,Humid and cold conditions,Only hot conditions,Only humid conditions,option1
1,Which of the following statements is/are false?,All storms are high-pressure systems.,A wind storm's destructive capacity increases with increases in wind speed.,Wind cycles are caused due to uneven heating of land and water as well as the shape of Earth.,Both a and c,option1
1,"During the formation of rain, what happens when water vapor changes to raindrops?",Heat is absorbed.,Heat is released.,Heat is first absorbed and then released.,There is no exchange of heat.,option2
1,What is the best thing to do when strong winds risk blowing over a hut having a weak thatched roof?,Open the doors and windows,Close all the doors and windows,Make holes in the roof,Burn wood inside,Option1
1,Following are precautions one must take in case a storm is accompanied by lightning. Which one of them is incorrect? ,Do not take shelter under a tree.,Do not take shelter under an umbrella with a metallic end.,"Do not take shelter in open garages, storage sheds, etc.",Do not take shelter in a bus in the open.,option4
