language_id,questions,option1,option2,option3,option4,answer
1,Side view mirror of a vehicle is an example of which type of mirror?,Plane mirror,Concave mirror,Convex mirror,None of these,Option3
1,Which of these images can be formed by a convex mirror?,"Upright, real, and life sized","Inverted, virtual, and bigger than the object","Upright, virtual, and smaller than the object",All of these images are possible,Option3
1,What is the nature of an image formed by a concave mirror?,Real and inverted,Virtual and erect,Depends on the position of the object,Real and erect,option3
1,An erect and enlarged image can be formed by,a convex mirror only.,a concave mirror only.,a plane mirror only.,both convex and concave mirrors.,option2
1,Choose the property of the image formed by a convex lens when the object is placed very close to the lens.,Virtual and inverted image,Real & inverted image,Real & Virtual Image,Virtual & erect image,option4
1,Which of the following can form an inverted image? Select all that apply.,Concave lens,Convex lens,Concave mirror,Both a and c,Option4
1,What can be said about the size of the image formed in a concave lens?,Image formed is always enlarged.,Image formed is always diminished.,Image formed is always of the same size as the object.,Size of the image formed depends on the position of the object.,option2
1,Sea and land breezes:,are caused by currents set up in air due to conduction.,are caused by currents set up in air due to convection.,are caused by currents set up in air due to radiation.,"have no relation to conduction, convection or radiation.",Option2
1,How does the air move in a land breeze?,From east to west,From west to east,From the land to the ocean,From the ocean to the land,Option3
1,Which of the following precautions need NOT be taken while using electronic gadgets/appliances/circuits?,Never turn the switch in ON position.,Never use just any wire or strip of metal in place of a fuse.,Never experiment with the electric supply from the mains.,Never touch a lighted electric bulb connected to the mains.,Option4
