language_id,questions,option1,option2,option3,option4,answer
1,Which of the following are necessary for proper measurement of length using scale?,Proper positioning,Correct position of eyes,Always start with zero mark,Both a) and b),option4
1,Which of the following components of air cannot be taken directly by plants?,Nitrogen,Oxygen,Carbon dioxide,None of the above,option1
1,Which components of air are harmful to living beings?,Nitrogen and Carbon dioxide.,Dust and water vapour.,Dust and smoke.,Smoke and water vapour.,option3
1,How can the shadow of the puppets be made bigger?,Move the puppet closer to the screen,Move the puppet away from the screen,Move the lamp away from the puppet,Move the lamp closer to the puppet,option2
1,Rahim has 3 different spoons. In which spoons would he be able to see his image?,Wooden spoon,Steel Spoon,Plastic spoon,None of the above,option2
1,Height of a person is 1.65 m. Its height in mm is,165 mm,1650 mm,1.65 mm,0.165 mm,option2
1,Which of the following options is the same length as 2.6 m?,20 m and 60 cm,2 m and 6 cm,200 m and 6 cm,2 m and 60 cm,option4
1,"On a broken scale starting at 8mm instead of zero, what number corresponds to a length of 7.5 cm?",8.5 cm,8.13 cm,7.13 cm,8.3 cm,option4
1,"A man moves back and forth on a road. He takes 20 minutes from A to B and 30 minutes from B to C, repeating 10 times. Identify the motion type.",Only rectilinear motion,Only periodic motion,Rectilinear and periodic both,Neither rectilinear nor periodic,option3
1,Identify the statement which describes the best conditions for clothes to dry.,Less moisture in the air,More moisture in the air,More temperature and more moisture in air,Less temperature and more moisture in air,option1
