language_id,questions,option1,option2,option3,option4,answer
6,Which of the following is responsible for change in the motion of an object?,Balanced forces,Unbalanced forces,Acceleration,Velocity,option2
,,,,,,
6,What will happen to a body moving with a constant speed along a straight line in absence of any external force?,Its direction will change,It continues to move with uniform velocity,It accelerates with time,Its speed increases with time,option2
,,,,,,
6,"To change the state of rest or motion of a body, what should overcome the inertia of the body?",Acceleration,Force,Weight,Speed,option2
,,,,,,
6,Force needed to change the momentum of an object depends on which of the following factors?,Mass of object,Velocity of object,Time rate at which momentum is changed,None of the above,option4
,,,,,,
6,What will happen if the body at rest is made to move in a straight line and obstructed by an opposite force?,The body slows down,The body changes direction,The body will continue to move in the same direction with the same speed,All of the above,option1
,,,,,,
6,"If the mass of a body and its velocity is doubled, then what will be the effect on the linear momentum of the body?",Remains the same,Becomes double,Becomes half,Increases four times.,option4
,,,,,,
6,Which has more momentum: a car of mass 300 kg stopped at a red light or a bike of mass 150 kg moving at 15 mph?,Car,Bike,Both have equal momentum,Cannot be determined,option2
,,,,,,
6,"If friction, air resistance, and all external forces are zero then what could be said about a body at rest?",It has inertia of rest,It has inertia of motion,It will continue at rest forever,Both ‘a’ and ‘c’,option4
,,,,,,
6,A body has constant momentum in time t. What is the force applied on it?,Zero,Pt /2,P/t,Pt,option1
,,,,,,
6,A bird strikes the windshield of an aircraft. What can you say about the forces on the bird and on the aircraft?,Force on the bird is greater than the force on the aircraft,Force on the bird is smaller than force on the aircraft,Force on the bird is = force on the aircraft,Bird experiences force but the aircraft does not,option3
,,,,,,
6,Which of the following is incorrect regarding the action and reaction pair?,They are equal and opposite,They act on two different bodies,They act on bodies in contact,Their effect on both bodies in consideration is the same,option4
,,,,,,
6,A dog plays with a ball. Consider the action force as the dog catching the ball with his teeth. What is the reaction force?,The friction of the ground on the ball.,The friction of the ground on dog,The force on the ball by the dog's teeth.,The force of the ball on the dog’s teeth,option4
,,,,,,
6,Which two forces are balanced when a person is sitting on the ground?,Weight balanced by friction of ground,Weight balanced by weight of ground,Weight balanced by gravity force,Weight balanced by frictions and gravity force,option4
,,,,,,
6,What is the effect of the action and reaction forces experienced by the 2 bodies which are always equal in magnitude?,They produce accelerations of equal magnitudes.,They may not produce accelerations of equal magnitudes.,They produce velocities of equal magnitudes.,They will never produce accelerations of equal magnitudes,option2
,,,,,,
6,Acceleration produced by action and reaction forces may not be equal. Select the correct reason for this statement.,Each force acts on a different mass,Each force is not always equal,Each force has different amount of frictional force involved,Each force acts on a different area,option1
,,,,,,
6,F = (G)(M)(m/d²) Choose the correct statement about the quantity G,It depends on the value of g at the place of observation,It is used only when the earth is one of the two masses,It is the greatest on the surface of the earth,It is same irrespective of the place of observation,option4
,,,,,,
6,"If there is a decrease in mass of one of the two objects, there is _________ in the gravitational pull between the two objects.",Increase,No effect on,Decrease,Elimination,option3
,,,,,,
6,What will be the value of g for a rock that is thrown up if the air resistance is negligible?,Zero,9.8 m/s²,-9.8 m/s²,Negligible,option3
,,,,,,
6,Choose the correct statement for the given situation: ‘Coconut falling from a tree.’,Only the earth attracts the coconut,Only the coconut attracts the earth,Both the coconut and the earth attract each other,Both the coconut and the earth repel each other,option3
,,,,,,
6,More force is required to bring body A into a unit acceleration compared to that for body B. Which body has more mass?,Body A,Body B,Both have same mass,Mass is independent of force,option1
,,,,,,
6,Choose the correct statement.,Mass of a body on planet A is 60 kg while on planet B is 20 kg,Mass of a body on planet A and B is 60 kg,Mass of a body on planet A and B is 60 N,Weight of a body on planet A and B is 60 kg,option2
,,,,,,
6,How should cattle shed be designed?,Closed rooms to prevent smell of dung from coming out,Well ventilated roofed shed,Sloping floor so as to stay dry and help in cleaning,Both ‘b’ and ‘c’,option4
,,,,,,
6,Which of the following is not a reason to do cross-breeding of different breeds of chicken?,Improvement in number and quality of chicks,Improving summer adaptation capability,To have small size chicken for commercial meat production,To have chicken with colorful feathers for commercial feather selling,option4
,,,,,,
6,How can hybridization be done in cattle?,By feeding with hybrid food,By cross-breeding between local and foreign breeds,By using medicine,All of the above,option2
,,,,,,
6,Why fish and a few other varieties of aquatic animals are used as food?,They constitute good sources of protein.,They constitute good sources of minerals,They constitute good sources of vitamins,They constitute good sources of carbohydrates,option1
,,,,,,
6,Why is Bee-keeping done?,To get honey,To get honey comb,To get wax,Both ‘a’ and ‘c’,option4
,,,,,,
6,Why are fish cultured in marine and inland ecosystems?,To increase production of fish,To increase protein content in fish,To Capture fish easily,Oil extraction,option1
,,,,,,
6,Taste and quality of honey produced by bees will depend on what factors?,Pasturage availability,Number and type of flowers,Temperature and humidity,Both ‘a’ and ‘b’,option4
,,,,,,
6,Crop variety improvement is done to biotic and abiotic resistance. What is meant by biotic and abiotic resistance?,Crop’s ability to resist damage from pest attack,Crop’s ability to resist weed infestation,Crop’s ability to tolerate adverse climatic conditions,All of the above,option4
,,,,,,
6,What are the factors for which variety improvement in crops are done?,Improved quality,Wider adaptability,Biotic and abiotic resistance,All of the above,option4
,,,,,,
6,Which characters are required in a crop during its improvement?,Response to fertilizer,Low yield,Disease resistance,Both ‘a’ and ‘c’,option4
,,,,,,
6,What are the factors for which variety improvement in crops are done?,Desirable agronomic characteristics,Change in maturity duration,Higher yield,All of the above,option4
,,,,,,
6,"Preventive methods such as proper seedbed preparation, timely sowing of crops, intercropping and crop rotation help in which of the following?",Protection from pests,Protection from weeds,Protection from diseases,Protection from climate adversities,option2
,,,,,,
6,Which of these are the advantages of mixed cropping or inter cropping?,It prevents the depletion of selective nutrients.,It enhances the production by increasing the soil fertility.,It ensures a greater number of crops within same year,All of the above,option4
,,,,,,
6,Why is it necessary to maintain distance between two crops while sowing seeds?,To prevent overcrowding,"To prevent competition between the crops for sunlight, nutrients, water, etc.",To protect it from weeds,None of the above,option2
,,,,,,
6,Select all the sustainable methods of controlling weeds in an agricultural field.,Intercropping,Weedicides,Raised seed beds,Both ‘a’ and ‘c’,option4
,,,,,,
6,Which of the following Irrigation systems is more reliable during periods of drought when surface water dries up?,Wells,Ponds,Canal,None of the above,option1
,,,,,,
