language_id,questions,option1,option2,option3,option4,answer
1,What do you mean by ecosystem?,Organisms reacting with one another,A community of organisms together with the environment in which they live,Abiotic environment,Earth and its atmosphere,option2
1,What is the other term for Rainfall?,Precipitation,Condensation,Infiltration,Downpour,option1
1,Which of the following is a form of waste water?,Water trickling from a damaged tap,Water coming out of a shower,Water flowing in a river,None of the above,option1
1,Which of the following is a FALSE statement?,Solid wastes must be thrown in the dustbin.,Chemicals waste should not be thrown in the sink.,Cooking oil can be thrown in the wash basin.,Polythene bags should not be thrown in the drains.,option3
1,Where does most of the plastic waste end up?,Oceans,Burned for energy,Landfills,Recycles,option1
1,What are sources of ocean pollution?,Oil spills,Direct dumping of wastewater,Activities on land,All of the above,option4
1,Which of the following is not the effect of soil erosion?,Water pollution,Decline in fish population,Air pollution,Both 'a' and 'b',option3
1,Which of the following is not a cause of soil erosion?,Heavy rainfall,Overgrazing,Mining and construction,Dense forest,option4
1,"Arrange the following components of a food chain in proper sequence- grass, frog, eagle, insects, snake.","Grass , Insects ,Frog ,Snake , Eagle.","Grass , Snake, Insects, Frog, Eagle.","Grass, Snake, Eagle, Insects, Frog.",None of the above is possible,option1
1,What do forests provide us with?,"Wood, clothing, shelter, food","Nuts, fruits, spices, meat","Air conditioners, playstation, bathtubs",Both 'a' and 'b',option4
