language_id,questions,option1,option2,option3,option4,answer
1,Which of the following materials is lustrous?,Glass bowl,Plastic toy,wooden blocks,Cotton shirt,option1
1,Which of the following pairs of objects will float on water?,"Pin, oil drops","Coin, rubber band","Plastic ball, feather","Iron nail, cotton thread",option3
1,What are the materials which are not attracted by a magnet called?,Magnetic materials,Plastic materials,Non magnetic materials,Translucent materials,option3
1,Which of the following objects will get attracted by a magnet?,Wooden scale, Leather piece,Steel spoon,Rubber band,option3
1,Which of these are attracted towards the magnet?, Iron,Cobalt,Nickel,All of these,option4
1,Which of the following will float on water?,Cotton,Wood piece,Mud piece, Metal,option1
1,Which of the following will float on water?,Oil,Milk,Orange juice,Honey ,option1
1,What happens during Evaporation?,Solid changes into a gas.,Liquid changes into a gas.,Gas changes into a liquid.,Solid changes into a liquid.,option2
1,Choose the correct option regarding melting of ice?,The ice melts to become liquid water,The ice cube forms water vapours,The ice cube do not change its shape,None of the above,option1
1,Conversion of solid into liquid is known as?,Freezing,Melting,Evaporation,Condensation,option2
1,What do we obtain on condensation of water vapours?,Rain,Snowfall,Hail,Water Droplets,option4
1,Which is an incorrect sentence?,Nylon is a synthetic fibre,Wool is obtained from animals ,Silk Fiber is an artificial fiber,Jute is obtained from plants,option3
1,Which state of matter has a definite volume but can change shape?,Gas,Liquid,Solid,Physical change,option2
1,In which case the attraction is seen between the poles of two bar magnets,N - pole of one magnet with S pole of other,N - pole of one magnet with N - pole of other, S - pole of one magnet with S - pole of other , All of these cases show attraction,option1
1,Which of the following shows Evaporation ?,liquid water becomes vapours,liquid water becomes an ice,vapours becomes a liquid water,Ice becomes a liquid water,option1
1,Which material should Rani use to block the Sun from reaching her ring?,Cling film,Plastic wrap,Aluminum Foil ,Wax paper,option3
1,"If Raj lights a flashlight through an opaque object, how much light would pass through?", All of the light ,Most of the light,None of the light,Half of the light,option3
1,What is the process by which a gas changes into a liquid?,Decantation, Sublimation,Condensation,Sedimentation,option3
1,Select all translucent objects from the list.,Ice,Wood,Mirror,Plastic Bag,option1
1,Which of the following allows light to pass through it easily?,A metal plate,A glass tumbler,A book,A wooden block,option2
1,Which substances allow all the light to pass through them?,Opaque,Conductors,Transparent,Translucent,option3
1,Which of these will not form a shadow,A leaf,Car,A paper, Clear glass,option4
1,Which of the following is a translucent material?,Eraser,Aluminum foil,Lemon water,Clearwater,option3
1,Which is an example of a magnetic substance?,Iron,Nickel,Cobalt,All of these,option4
1,Attraction between bar magnet poles is seen when,N-pole with N-pole,N-pole with S-pole,S-pole with S-pole,all cases show attraction,option2
1,Similar poles of a magnet always ,Attract each other,Stay as it is,Repel each other,None,option3
1,How can you identify the North pole of a magnet?,Use magnet with marked poles,Use any magnet,Use iron bar,Use iron filings,option1
1,Which two ends of a magnet are called magnetic poles?,North and East pole,South and West pole,North and South pole,East and West pole,option3
1,Wind does not help in the movement of which of the following?,Firki,Weather cock,Ceiling fan,Sailing yacht,option3
1, What is the use of a wind sock?,to determine the amount of air, to determine the air pressure,to determine the quality of air,to determine the direction of airflow,option4
1,Envelope of air that surrounds the earth is known as?,biosphere,atmosphere,Air bubble,Oxyphere,option2
1,What gases do plants inhale & exhale?,"Nitrogen, Oxygen","Oxygen, Carbon dioxide","Carbon dioxide , Nitrogen","Carbon dioxide , Oxygen",option4
1,"Water in rivers, lakes, glaciers, ice sheets, and underground with minimal salt is called?",Salt water,Oceans,Glaciers, Fresh water ,option4
1,Water in out taps comes from,River,Well,Lake,"River, well or lake",option4
1,Which one of the following is not a source of water?,River,Ocean,Taps,Wells,option3
1,How does water from sources like rivers reach our house?,Network of pipes,Storage,Flowing,Transported,option1
1,Which of the following is not an industrial use of water?,Producing candies,Washing cars,Producing Fabrics,Producing electronics,option2
1,What is the the process in which water vapor reverts to the liquid state,Evaporation,Condensation,Sublimation,Decantation,option2
1,Which one of the following is a characteristic of an opaque object when it is held against a source of light? ,It will not cast a shadow,It will cast a shadow,It will cast an unclear shadow,None of these,option2
1,Why does the shadow of a tree made by the Sun move throughout the day?,Because of weather changes,Because the sun moves across the sky,Because wind sways the tree,Because it's magic!,option2
1,Which of the following are necessary for proper measurement of length using scale?,Proper positioning,Correct position of eyes,Always start with zero mark,Both a) and b),option4
1,Which of the following components of air cannot be taken directly by plants?,Nitrogen,Oxygen,Carbon dioxide,None of the above,option1
1,Which components of air are harmful to living beings? ,nitrogen and carbon dioxide.,dust and water vapour.,dust and smoke.,smoke and water vapour.,option3
1,How can the shadow of the puppets be made bigger?,Move the puppet closer to the screen,Move the puppet away from the screen,Move the lamp away from the puppet,Move the lamp closer to the puppet,option2
1,Rahim has 3 different spoons. In which spoons would he be able to see his image?, Wooden spoon, Steel Spoon,Plastic spoon,None of the above,option2
1,Height of a person is 1.65 m. Its height in mm is,165 mm,1650 mm,1.65 mm,0.165 mm,option2
1, Which of the following options is the same length as 2.6 m?, 20 m and 60 cm,2 m and 6 cm,200 m and 6 cm,2 m and 60 cm,option4
1,"On a broken scale starting at 8mm instead of zero, what number corresponds to a length of 7.5 cm?",8.5 cm,8.13 cm,7.13 cm, 8.3 cm,option4
1,"A man moves back and forth on a road. He takes 20 minutes from A to B and 30 minutes from B to C, repeating 10 times. Identify the motion type.",Only rectilinear motion,Only periodic motion,Rectilinear and periodic both, Neither rectilinear nor periodic,option3
1,Identify the statement which describes the best conditions for clothes to dry.,Less moisture in the air,More moisture in the air,More temperature and more moisture in air,Less temperature and more moisture in air,option1
1,What are floods?,Cities experience water clogging due to prolonged rainfall.,Overflowing sewers,Excessive precipitation leads to overflowing water bodies.,None of the above,option3
1,What is a drought?,Shortage/ deficiency of water,Too much precipitation,Too many people using water,Strong winds,option1
1,How can we conserve water?,By avoiding wastage of water,By avoiding wastage of water,By using water carefully,All of these,option4
1,What does 'biodegradable' mean?,It breaks down in nature,Bad for environment,Perfect for composting,Can be eaten,option1
1,What waste is obtained from Animals and Plants?,Biodegradable waste,Non degradable waste,Plastic waste,None of the above,option1
1,Which substances are difficult to dispose of?,Glass,Wood,Rubber,None of these,option1
1,Which body parts help fish move about in the water?,Mouths and gills,Legs and scales,Wings and tails,Fins and tails,option4
1,Which category of plants possesses the feature of thick and hard stems?,Herb,Shrub,Tree,Climber,option3
1,"If I possess a tender green stem, what am I?",Tree,Herb,Shrub,None,option2
1,Which type of plant has a weak stem?,Herb,Creeper,Shrub,None,option2
1,"Which part of the plant bears fruits, branches, buds?",Stem,Root, Leaves,None of the above,option1
1,Which of the following ingredients cannot be obtained from a plant or an animal source?,Oil,Asafetida (hing),Salt,Pepper,option3
1,Pick the odd one out,Chicken,Egg,Cheese,Onion,option4
1,What are the main ingredients of dosa?,Meat,Pumpkin,Rice,Coffee,option3
1,Lions eat the flesh of other animals. Choose the correct category for lions.,Omnivore,Herbivore, Carnivore,None of the above,option3
1,What is the reason for purifying polluted water?,It may cause diseases,It will smell bad,It will look dirty,All of the above,option4
1,How can forests be conserved?,Cutting them,Preventing forest fires,Overgrazing animals,All of these,option2
1,What is the correct method for disposing of garbage?,To prepare manure from biodegradable garbage,To recycle non-degradable garbage,Both b) and c),None of these,option3
1,What can be recycled?,Waste paper,Leather shoes,Animal waste,Kitchen waste,option1
1,Choose 'Reduce' example, Bringing newspapers to recycling center,Using plastic bags as garbage bags,Using less water during a shower,All of the above,option3
1,What is the term for the method of preparing compost with the assistance of earthworms?,Composting,Vermicomposting,Manuring,Decomposing,option2
1,What is vermicompost?,Food waste of earthworms,Excreta of earthworms,Dead skin of earthworms,Dead body parts of earthworms,option2
1,Which plant part plays a role in preventing soil erosion?,Root,Flower,Leaves,Stem,option1
1,Which part of the plants allow water to transpire?,Stomata,Roots, Flowers,Fruits,option1
1,What is the process by which leaves prepare their own food?,Evaporation,Condensation,Roots and stem,Photosynthesis,option4
1,What is the habitat of a giraffe?,Mountains,Grasslands,Ocean,Lake,option2
1,Why does a fish have slippery scales?,To make other animals jealous,To swim in water easily,To reflect sunlight,All of the above,option2
1,What do you call an animal that kills and eats another animal?,A prey,A predator,An omnivore,A carnivore,option2
1,"Which habitat is very dry, has little plant life, and is harsh for animals?",Grasslands,Temperate Forest,Desert,Polar Regions,option3
1,Which creature can walk on land and fly in the air?,Cockroaches,Earthworms,Snakes,All of the above,option1
1,What animal moves sideways with a long backbone and muscles?,Fish,Earthworm,Snails,Snakes,option4
1,Name the materials required to prepare a food item as a whole,Nutrients,Ingredients,Nourishments,Minerals,option2
1,What do the roots of a tree absorb?,Soil,Insects,Water and Nutrients,All of the above,option3
1,Which of the following can result in flooding?,Forest fires,Excessive rainfall,Storms and cyclones,High temperatures,option2
1,Which of the following is a way of conserving water?,Leave the tap running while brushing teeth,Use a pipe to wash the car,Leave the shower running while soaping,Use the washing machine at full load,option4
1,Ram saw a slithering animal. Which of the following will be that animal?,Lion,Frog,Lizard,Snake,option4
1,"Among the following, which is a climber?",Ladies finger,Potato,Pumpkin,None of the above,option1
1,What does floods cause extensive damage to?,Crops,Property and human life,Domestic animals,All of the above,option4
1,What can cause pollution of potable water?,Marine Life,Boating,Industrial waste,Agriculture,option3
1,How to manage fallen leaves? ,Landfill dumping,Burning,Composting,Near water bodies dumping,option3
1,Which part of the plant bears branches?,Roots,Fruit,Stem,Leaf,option3
1,What do dolphins and whales possess to breathe inside water?,Gills,Blowholes,Tubes,None of the above,option2
1,How do dolphins and whales breathe?,Through gills, Through the skin,Through lungs,Through blowholes,option4
1,Which part of a banana plant is not used as a food item?,Flower,Fruit,Stem,Root,option4
1,What is an environmentally friendly way to travel long distances?,Public Bus,Cycle,Auto,Car,option1
1,What is the reason for the need for shelters?,To protect ourselves,To give shape to the house,To give strength to the house,All of the above,option4
1,Which one of the following is an animal product?,Gum,Catechu,Honey,Rubber,option3
1,Which of the following is not the name of a tree?,Teak,Sal,Porcupine,Kachnar,option3
1,Cutting down trees on a large scale is called:,Afforestation,Deforestation,Photosynthesis,Soil erosion,option2
1,Identify the wrong statement.,Forests prevent floods,Forests influence climatic and water cycles.,Forests protect the soil from erosion,Plants and animals in a forest are not dependent on each other,option4
1,Which of the following does not show water shortage?,Taps running dry.,Long queues for getting water.,A family gets three buckets of water per person per day.,A family has the availability of well and handpumps,option3
1,Which of the following is not a mismanagement of water?,Water harvesting,Open taps,Poor drainage of water,Leakage pipes,option1
1,How can you help prevent water pollution?,Don't use chemical fertilisers in the farms and gardens,Scrape plates clean,Don't put grease in the kitchen drain,All of the above,option4
1,Which of the following is not a natural cause of water pollution?,Volcanoes,Algae blooms,Animal waste,Oil spills,option4
1,Which region has dry weather in India?,West Bengal,Mumbai,Chandigarh,Rajasthan,option4
1,Which one of the following is the role of forests?,"Provide food, shelter, water and medicines",Prevent soil erosion,Prevent flood,All of the above,option4
1,Which is a renewable resource?,Forest,Town,Village,None,option1
1,Which of the following is a way to use water economically?,Construction of bawris,Leave the running taps.,Drip irrigation,none of the above,option3
1,Which of the following is NOT TRUE about the forests?,Provides oxygen,"Provides food, shelter and clothing materials",Protects wildlife,Provides shelter to wildlife which can be dangerous for humans,option4
1,Bobo and his teacher went to a forest. Teacher said not to make any noise. Why?,Noise could disturb the birds,Noise could disturb the animals,Noise could disturb both birds and animals,Noise could disturb the plants,option3
