language_id,questions,option1,option2,option3,option4,answer
1,What will happen if humans do not undergo excretion and defecation?,Humans will become sick,Humans will become extinct,Humans will stay healthy,None of the above,option1
1,"What percentage of Earth's water, found abundantly in seas and oceans, is accessible for our use?",0.006%.,0.06%.,0.6%.,6%.,option1
1,On which of the following days is World Water Day observed?,22nd March,14th November,20th April,21st December,option1
1,At what duration does the annual rainfall at any given station vary?,Month to month,Weekly basis,Year to year,Quarterly,option3
1,Which of these methods should not be used for the disposal of urine and faeces if no sewage system is available?,Allowing untreated sewage to flow into rivers,Making septic tanks for sewage to flow into,Allowing sewage to flow into a biogas plant,Using a vermi-composting toilet,option1
1,"The statement ""Garden soil which is a rich source of humus content due to the presence of clay and the roadside soil does not hold the water"" is:",TRUE,FALSE,Partially true,Cannot be determined,option1
1,"Which of the following properties primarily determine the nature of soil as sandy, clayey or loamy?",Amount of organic matter,Color of the soil,Particle size of soil and rocks,Proportion of particles of various sizes,option4
1,Wheat is grown in fine clayey soil because:,It is rich in humus,It is very fertile,It is well aerated,Both a and b,option4
1,"What does the proportion of sand, silt and clay in a soil sample determine?",Structure,Texture,Nutrient potential,Fertility level,option2
1,"If a soil retains too much water, what could happen to the plants?","The plants wouldn't grow, and mold might develop",The plants wouldn't grow because the soil needs the water,The plants would grow because plants need a lot of water,None of the above,option1
