language_id,questions,option1,option2,option3,option4,answer
1,What are the necessary conditions for proper plant growth?,Only water,Only sunlight,Water and sunlight only,"Water, sunlight, air and manure",option4
1,Which part of a pea plant is responsible for growing into a new plant?,Flower,Seed,Stem,Root,option2
1,When is the best time to water your plants?,Early morning or late evening,In the afternoon,In the night,All day long,option1
1,Why is water valuable despite its abundance?,Greenhouse effect traps freshwater.,Limited drinkable freshwater.,More trapped in polar ice annually.,Global warming's ocean impact.,option2
1,Reusing old clothes as cleaning rags is an example of:,Reduce, Reuse,Recycle,Remake,option2
1,A diary made from old greeting cards shows which aspect of waste management?,Reduce,Recycle,Reuse,All of the above,option3
1, Which insects aid composting?,Beetles,Roundworms,Earthworms,Flatworms,option3
1,"Among these statements, which is incorrect?",Herbs are characterized by their soft stems.,Shrubs have branches rising above the ground.,Trees typically have thick woody stems.,Herbs are larger than shrubs but smaller then trees.,option4
1,Why is lemon usually not cooked?,Becomes poisonous when cooked,Makes the food taste bitter when cooked,Loses vitamin C when cooked,Has no nutrient value and need not be cooked,option3
1,Organisms that convert dead plants and animals into humus are called:,Omnivores,Herbivores,Carnivores,Decomposers,option4
